GDP,Family,Life Expectancy,Freedom,Trust,Score,Region
1.36135590076447,1.3802285194397,0.519983291625977,0.518630743026733,0.0089648161083459,6.16800022125244,4.0
1.63295245170593,1.25969874858856,0.632105708122253,0.496337592601776,0.215159550309181,6.10500001907349,3.0
1.32539355754852,1.50505924224854,0.712732911109924,0.295817464590073,0.0242108516395092,6.09800004959106,6.0
1.48841226100922,1.32311046123505,0.653133034706116,0.536746919155121,0.257042169570923,6.08699989318848,3.0
1.29121541976929,1.28464603424072,0.618784427642822,0.402264982461929,0.0656007081270218,6.08400011062622,5.0
0.737299203872681,1.28721570968628,0.653095960617065,0.447551846504211,0.130687981843948,6.07100009918213,4.0
1.00082039833069,1.28616881370544,0.685636222362518,0.4551981985569,0.140134647488594,6.00799989700317,4.0
0.909784495830536,1.18212509155273,0.596018552780151,0.432452529668808,0.0899809598922729,6.00299978256226,4.0
1.29178786277771,1.44571197032928,0.699475347995758,0.520342111587524,0.0593078061938286,5.97300004959106,6.0
0.786441087722778,1.54896914958954,0.498272627592087,0.658248662948608,0.246528223156929,5.97100019454956,6.0
1.39506661891937,1.44492328166962,0.853144347667694,0.256450712680817,0.0280280914157629,5.96400022506714,0.0
1.28177809715271,1.46928238868713,0.547349333763123,0.373783111572266,0.0329628810286522,5.96299982070923,6.0
0.907975316047668,1.08141779899597,0.450191766023636,0.547509372234344,0.0965810716152191,5.95599985122681,
1.41691517829895,1.43633782863617,0.913475871086121,0.505625545978546,0.163760736584663,5.92000007629395,7.0
1.31458234786987,1.47351610660553,0.62894994020462,0.234231784939766,0.0118656428530812,5.90199995040894,6.0
1.09186446666718,1.1462174654007,0.617584645748138,0.233335807919502,0.146096110343933,5.87200021743774,3.0
1.26074862480164,1.40471494197845,0.638566970825195,0.325707912445068,0.0738427266478539,5.84999990463257,6.0
1.40167844295502,1.12827444076538,0.900214076042175,0.257921665906906,0.0632826685905457,5.83799982070923,7.0
0.728870630264282,1.25182557106018,0.589465200901031,0.240729048848152,0.0100912861526012,5.83799982070923,6.0
1.21768391132355,1.15009129047394,0.685158312320709,0.457003742456436,0.00438790069893,5.82499980926514,6.0
0.833756566047668,1.22761905193329,0.473630249500275,0.558732926845551,0.0604777261614799,5.82299995422363,4.0
1.13077676296234,1.49314916133881,0.437726080417633,0.41827192902565,0.259270340204239,5.82200002670288,6.0
1.28455626964569,1.38436901569366,0.606041550636292,0.437454283237457,0.119282886385918,5.81899976730347,6.0
1.3469113111496,1.18630337715149,0.834647238254547,0.471203625202179,0.155353352427483,5.80999994277954,0.0
1.3412059545517,1.45251882076263,0.790828227996826,0.572575807571411,0.0451289787888527,5.75799989700317,6.0
1.03522527217865,1.21877038478851,0.630166113376617,0.450002878904343,0.0470490865409374,5.71500015258789,4.0
1.18939554691315,1.20956099033356,0.638007462024689,0.491247326135635,0.0421815551817417,5.62900018692017,8.0
1.35593807697296,1.13136327266693,0.84471470117569,0.355111539363861,0.0412379764020443,5.62099981307983,0.0
1.32087934017181,1.47667109966278,0.695168316364288,0.479131430387497,0.183248922228813,5.61100006103516,6.0
